%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
92392000000,2694,92380144635,world,0.995933592319,0.97773194313,1.17187798023,0.0054574669975,-0.0160301540946,-1.35712852204e-05,-0.999856599307
92420000000,2695,92408144402,world,0.99590575695,0.97739982605,1.1713231802,0.00560769713411,-0.0162734043015,-8.68225079324e-05,-0.99985187886
92456000000,2696,92448144402,world,0.996017456055,0.977072000504,1.17057299614,0.00597242015605,-0.0164803150347,-0.000205297299097,-0.999846357623
92492000000,2697,92488144402,world,0.996101975441,0.97674459219,1.16985249519,0.0060378942974,-0.0166091589384,-0.00018624692357,-0.999843913106
92520000000,2698,92508144170,world,0.996135056019,0.976585030556,1.16949462891,0.00611630225288,-0.0168603867534,-1.23490266136e-05,-0.999839192659
92556000000,2699,92548144170,world,0.996302306652,0.976302921772,1.16876411438,0.00623999107019,-0.0168084766533,-4.26947575414e-05,-0.999839276952
92588000000,2700,92580144170,world,0.996479392052,0.976101577282,1.16819226742,0.0062489946907,-0.0168558022959,-6.45689719186e-05,-0.999838391869
92620000000,2701,92608143936,world,0.996548354626,0.975817620754,1.16766655445,0.0062774550087,-0.0168524957439,-0.000161506723494,-0.999838307575
92656000000,2702,92648143936,world,0.996776878834,0.975542366505,1.16700959206,0.0061447480829,-0.0166576742415,-0.000129601559171,-0.999842395819
92692000000,2703,92688143936,world,0.997037231922,0.975215613842,1.16640031338,0.00616326800083,-0.0166037061898,-0.000109371071886,-0.999843154462
92724000000,2704,92708143702,world,0.997150599957,0.975054085255,1.16608166695,0.00609270298116,-0.0164804984393,-6.35995944028e-05,-0.999845683273
92756000000,2705,92748143702,world,0.997451543808,0.9748057127,1.16546535492,0.00609477739636,-0.0163038675826,5.09976866991e-06,-0.999848549259
92792000000,2706,92788143702,world,0.997799038887,0.974570393562,1.16482126713,0.00612677245201,-0.0161495887144,4.63615333629e-06,-0.999850867336
92820000000,2707,92808143468,world,0.997973144054,0.974458217621,1.16448712349,0.00618189460296,-0.016018570626,-0.000125850489653,-0.999852637503
92856000000,2708,92848143468,world,0.998371303082,0.974294483662,1.16381585598,0.0060944790757,-0.0158031478758,-0.000184139581144,-0.99985655716
92892000000,2709,92888143468,world,0.998757481575,0.974125981331,1.16315579414,0.00608342375977,-0.0157489927975,-0.000145617361605,-0.999857484391
92920000000,2710,92908143232,world,0.998935997486,0.974041283131,1.16283023357,0.00595822226573,-0.0155313296789,-3.48975905669e-05,-0.999861656929
92960000000,2711,92948143232,world,0.999317467213,0.973939776421,1.16219604015,0.00588332501102,-0.015352613541,-1.93454034664e-05,-0.999864902236
92988000000,2712,92988143232,world,0.999649226665,0.973833680153,1.16160321236,0.00578281267986,-0.0151961618052,-5.90477347637e-05,-0.999867852516
93020000000,2713,93008142997,world,0.999815225601,0.973776161671,1.16133368015,0.00567057990281,-0.0150965658387,-0.000116114567647,-0.999869959858
93056000000,2714,93048142997,world,1.00016546249,0.97370159626,1.1608017683,0.00554679856,-0.0150982964936,-6.29673916752e-05,-0.999870676354
93088000000,2715,93080142997,world,1.00043487549,0.973668813705,1.16038286686,0.00544627207013,-0.015054315928,-0.000102543282427,-0.999871898613
93120000000,2716,93108142760,world,1.00058221817,0.97351193428,1.15994715691,0.00545131948451,-0.0151442819981,-9.01099621162e-05,-0.999870507767
93160000000,2717,93148142760,world,1.00084161758,0.973424136639,1.15933012962,0.00529735112,-0.0151720324051,-7.95732499885e-05,-0.999870929236
93188000000,2718,93180142760,world,1.00100934505,0.973403036594,1.15883636475,0.00522573835603,-0.0152329662114,-7.74237607145e-05,-0.999870297033
93224000000,2719,93208142523,world,1.00108921528,0.973280370235,1.15833806992,0.00528618385151,-0.01533195039,-9.41982064218e-05,-0.999868526865
93260000000,2720,93248142523,world,1.00128793716,0.973198235035,1.15766346455,0.00525782033955,-0.0154594577776,-0.000101447464366,-0.999866672404
93288000000,2721,93288142523,world,1.00149071217,0.973035514355,1.1569890976,0.00520872946848,-0.0155374192399,-4.18518205712e-05,-0.999865745173
93320000000,2722,93308142286,world,1.00159335136,0.97294652462,1.15666604042,0.00522515883686,-0.0158018538358,-7.80138165936e-05,-0.999861530488
93356000000,2723,93348142286,world,1.0018658638,0.972813010216,1.15601742268,0.00519018057459,-0.0159964158716,-8.00790121706e-05,-0.999858622356
93392000000,2724,93380142286,world,1.00215637684,0.972747206688,1.15553414822,0.00519958030963,-0.0160518182333,-9.28495072694e-05,-0.999857652978
93420000000,2725,93408142048,world,1.00238955021,0.972550451756,1.15507519245,0.00529062375858,-0.0161789716532,-5.58024274283e-05,-0.999855166314
93456000000,2726,93448142048,world,1.00280833244,0.972366631031,1.1544970274,0.0053587755419,-0.0162436496143,-6.12815177348e-05,-0.999853733321
93488000000,2727,93480142048,world,1.00319063663,0.972236096859,1.15407931805,0.00540799285352,-0.0162689755897,-0.000108485988067,-0.999853058972
93520000000,2728,93520141809,world,1.00367879868,0.972005665302,1.15356457233,0.00551382787067,-0.0160624135559,-0.000111478414311,-0.999855798517
93556000000,2729,93548141809,world,1.00402379036,0.971819460392,1.1531881094,0.00564783048279,-0.0158228238686,-0.000126019077048,-0.999858875237
93588000000,2730,93580141809,world,1.00447881222,0.971718668938,1.15286564827,0.00583072739044,-0.0156931597477,-9.60948146048e-05,-0.999859886761
93624000000,2731,93608141570,world,1.00483846664,0.97151273489,1.15255200863,0.00593325651416,-0.0153063251061,-0.000121930832742,-0.999865239411
